ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
cco	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	870	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
che	100	68.2539682539683	31.7460317460317	10	90	0	5.88235294117647	94.1176470588235	0	100	0	100	NA	2072	215	100	11	99	0	2	32	0	40	0	2	NA
chi	100	89.937106918239	10.062893081761	69.5652173913043	30.4347826086957	0	NA	NA	NA	NA	NA	NA	NA	920	143	16	16	7	0	NA	NA	NA	NA	NA	NA	NA
cli	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
clo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cra	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cre	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cri	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cro	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dda	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dde	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ddi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
