ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
agi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ago	100	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	156	NA	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA
ahi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ala	100	60.86956522	39.13043478	0	75	25	0	100	0	NA	NA	NA	NA	NA	125	28	18	0	6	2	0	1	0	NA	NA	NA	NA	NA
ale	100	99.46977731	0.530222694	98.50523169	1.494768311	0	100	0	0	90	10	0	NA	NA	742	938	5	659	10	0	168	0	0	9	1	0	NA	NA
ali	100	94.60154242	5.398457584	97.88617886	1.951219512	0.162601626	100	0	0	100	0	0	NA	NA	124	368	21	602	12	1	56	0	0	7	0	0	NA	NA
alo	100	70.45454545	29.54545455	0	89.47368421	10.52631579	0	100	0	0	100	0	NA	NA	18	62	26	0	17	2	0	1	0	0	2	0	NA	NA
ama	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	152	55	0	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ame	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	112	57	0	17	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ami	100	37.87878788	62.12121212	2.173913043	97.82608696	0	0	100	0	NA	NA	NA	NA	NA	78	25	41	1	45	0	0	2	0	NA	NA	NA	NA	NA
amo	100	100	0	99.73262032	0.267379679	0	86.30136986	13.69863014	0	100	0	0	NA	NA	529	1595	0	373	1	0	63	10	0	4	0	0	NA	NA
ana	100	99.35064935	0.649350649	100	0	0	100	0	0	100	0	0	NA	NA	202	153	1	149	0	0	5	0	0	4	0	0	NA	NA
ane	100	50	50	86.8852459	13.1147541	0	100	0	0	NA	NA	NA	NA	NA	335	99	99	53	8	0	4	0	0	NA	NA	NA	NA	NA
ani	100	80.4664723	19.5335277	86.91588785	13.08411215	0	100	0	0	NA	NA	NA	NA	NA	311	276	67	93	14	0	29	0	0	NA	NA	NA	NA	NA
ano	100	17.14285714	82.85714286	8.731019523	86.71366594	4.555314534	7.859531773	79.93311037	12.20735786	0	98.4375	1.5625	100	NA	617	330	1595	161	1599	84	47	478	73	0	63	1	1	NA
apa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ape	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
api	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
apo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ara	100	98.8372093	1.162790698	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	171	85	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
are	100	99.3484225	0.651577503	100	0	0	95.06398537	4.936014625	0	100	0	0	NA	NA	1295	2897	19	2027	0	0	520	27	0	12	0	0	NA	NA
ari	100	61.328125	38.671875	100	0	0	100	0	0	NA	NA	NA	NA	NA	158	157	99	142	0	0	82	0	0	NA	NA	NA	NA	NA
