CV-structure	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty
CVCCCVCCCVCVCCV	0	100	0	0	0	1	0	0
CVCCCVCCCVVVVCV	0	100	0	0	0	1	0	0
CVCCCVCCVCCVCCV	0	100	0	0	0	2	0	0
CVCCCVCCVCCVCCVV	0	100	0	0	0	2	0	0
CVCCCVCCVCCVCV	0	38.88888889	61.11111111	0	0	14	22	0
CVCCCVCCVCCVCVV	0	100	0	0	0	3	0	0
CVCCCVCCVCCVVCV	0	80	20	0	0	4	1	0
CVCCCVCCVCVCCV	0	100	0	0	0	33	0	0
CVCCCVCCVCVCV	0	46.51162791	53.48837209	0	0	20	23	0
CVCCCVCCVCVCVV	0	100	0	0	0	1	0	0
CVCCCVCCVCVV	0	50	50	0	0	1	1	0
CVCCCVCCVCVVCV	0	100	0	0	0	11	0	0
CVCCCVCCVVCCVCCV	0	100	0	0	0	1	0	0
CVCCCVCCVVCV	0	100	0	0	0	5	0	0
CVCCCVCCVVCVCCVV	0	100	0	0	0	1	0	0
CVCCCVCCVVCVCV	0	50	50	0	0	6	6	0
CVCCCVCCVVCVCVV	0	100	0	0	0	1	0	0
CVCCCVCCVVCVV	0	0	100	0	0	0	1	0
CVCCCVCVCCVCCV	0	87.87878788	12.12121212	0	0	29	4	0
CVCCCVCVCCVCV	0	54.66666667	45.33333333	0	0	41	34	0
CVCCCVCVCCVCVV	0	100	0	0	0	2	0	0
CVCCCVCVCCVVCV	0	100	0	0	0	3	0	0
CVCCCVCVCVCCCV	0	100	0	0	0	2	0	0
CVCCCVCVCVCCV	0	97.6744186	2.325581395	0	0	42	1	0
CVCCCVCVCVCV	0	67.24137931	29.31034483	3.448275862	0	39	17	2
CVCCCVCVCVCVV	0	100	0	0	0	4	0	0
CVCCCVCVCVV	0	100	0	0	0	3	0	0
CVCCCVCVCVVCV	0	100	0	0	0	15	0	0
CVCCCVCVVCCV	0	100	0	0	0	12	0	0
CVCCCVCVVCCVCV	0	0	100	0	0	0	2	0
CVCCCVCVVCV	0	100	0	0	0	12	0	0
CVCCCVCVVCVCCV	0	100	0	0	0	4	0	0
CVCCCVCVVCVCV	0	75	25	0	0	3	1	0
CVCCCVCVVCVV	0	100	0	0	0	1	0	0
CVCCCVVCCCVVCV	0	0	100	0	0	0	1	0
CVCCCVVCCVCV	0	10	90	0	0	1	9	0
CVCCCVVCCVCVCV	0	50	50	0	0	1	1	0
CVCCCVVCVCCV	0	66.66666667	33.33333333	0	0	2	1	0
CVCCCVVCVCV	0	0	100	0	0	0	8	0
CVCCCVVCVCVCCV	0	100	0	0	0	1	0	0
CVCCCVVCVCVCV	0	0	100	0	0	0	3	0
CVCCCVVCVV	0	20	80	0	0	1	4	0
CVCCCVVCVVCV	0	100	0	0	0	2	0	0
CVCCCVVCVVCVCV	0	0	100	0	0	0	1	0
CVCCVCCCVCCVCV	0	88.88888889	11.11111111	0	0	8	1	0
CVCCVCCCVCCVVCV	0	100	0	0	0	2	0	0
CVCCVCCCVCVCCV	0	88.88888889	11.11111111	0	0	8	1	0
CVCCVCCCVCVCV	0	31.57894737	68.42105263	0	0	6	13	0
CVCCVCCCVCVVCV	0	100	0	0	0	10	0	0
CVCCVCCCVVCCV	0	100	0	0	0	1	0	0
CVCCVCCCVVCCVCV	0	0	100	0	0	0	1	0
CVCCVCCCVVCV	0	100	0	0	0	3	0	0
CVCCVCCCVVCVCCV	0	100	0	0	0	3	0	0
CVCCVCCCVVCVCV	0	66.66666667	33.33333333	0	0	2	1	0
CVCCVCCVCCCVCV	0	100	0	0	0	2	0	0
CVCCVCCVCCCVVCCV	0	100	0	0	0	1	0	0
CVCCVCCVCCCVVCV	0	75	25	0	0	3	1	0
CVCCVCCVCCVCCV	0	75.75757576	24.24242424	0	0	25	8	0
CVCCVCCVCCVCV	0	31.61290323	66.4516129	1.935483871	0	49	103	3
CVCCVCCVCCVCVV	0	100	0	0	0	1	0	0
CVCCVCCVCCVVCCV	0	100	0	0	0	4	0	0
CVCCVCCVCCVVCV	0	94.44444444	5.555555556	0	0	17	1	0
CVCCVCCVCVCCCV	0	100	0	0	0	1	0	0
CVCCVCCVCVCCV	0	92.61744966	7.382550336	0	0	138	11	0
CVCCVCCVCVCCVV	0	100	0	0	0	5	0	0
CVCCVCCVCVCV	0	42.07317073	56.09756098	1.829268293	0	138	184	6
CVCCVCCVCVCVV	0	100	0	0	0	8	0	0
CVCCVCCVCVV	0	87.09677419	12.90322581	0	0	54	8	0
CVCCVCCVCVVCCCV	0	100	0	0	0	1	0	0
CVCCVCCVCVVCCV	0	100	0	0	0	1	0	0
CVCCVCCVCVVCV	0	100	0	0	0	70	0	0
CVCCVCCVVCCV	0	100	0	0	0	1	0	0
CVCCVCCVVCCVCCV	0	100	0	0	0	10	0	0
CVCCVCCVVCCVCV	0	31.25	68.75	0	0	5	11	0
CVCCVCCVVCV	0	93.33333333	6.666666667	0	0	14	1	0
CVCCVCCVVCVCCCV	0	100	0	0	0	1	0	0
CVCCVCCVVCVCCV	0	97.05882353	2.941176471	0	0	33	1	0
CVCCVCCVVCVCV	0	62.06896552	37.93103448	0	0	54	33	0
CVCCVCCVVCVCVV	0	100	0	0	0	3	0	0
CVCCVCCVVCVV	0	50	50	0	0	2	2	0
CVCCVCVCCCVCCCV	0	100	0	0	0	1	0	0
CVCCVCVCCCVCCV	0	100	0	0	0	6	0	0
CVCCVCVCCCVCV	0	87.5	12.5	0	0	7	1	0
