ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
izi	NA	100	NA	NA	NA	31	NA	NA
oba	NA	57.1428571428571	42.8571428571429	NA	NA	4	3	NA
obe	NA	100	NA	NA	NA	1	NA	NA
obi	NA	54.5454545454545	45.4545454545455	NA	NA	6	5	NA
obo	NA	42.8571428571429	57.1428571428571	NA	NA	3	4	NA
oca	3.2258064516129	61.2903225806452	35.4838709677419	NA	1	19	11	NA
oce	NA	93.75	6.25	NA	NA	15	1	NA
oci	NA	10.1351351351351	89.8648648648649	NA	NA	15	133	NA
oco	NA	84.8484848484848	15.1515151515152	NA	NA	28	5	NA
oda	NA	88.4615384615385	11.5384615384615	NA	NA	23	3	NA
ode	NA	84.2105263157895	15.7894736842105	NA	NA	16	3	NA
odi	NA	70.7317073170732	29.2682926829268	NA	NA	29	12	NA
odo	NA	51.5151515151515	48.4848484848485	NA	NA	17	16	NA
ofa	NA	50	50	NA	NA	3	3	NA
ofe	NA	33.3333333333333	66.6666666666667	NA	NA	1	2	NA
ofi	NA	50	50	NA	NA	4	4	NA
ofo	NA	33.3333333333333	66.6666666666667	NA	NA	1	2	NA
ofu	NA	100	NA	NA	NA	1	NA	NA
oga	NA	33.3333333333333	66.6666666666667	NA	NA	13	26	NA
oge	NA	100	NA	NA	NA	1	NA	NA
ogi	NA	14.8148148148148	85.1851851851852	NA	NA	8	46	NA
ogo	NA	15.4639175257732	84.5360824742268	NA	NA	15	82	NA
ogu	NA	100	NA	NA	NA	1	NA	NA
oja	NA	100	NA	NA	NA	2	NA	NA
ojo	NA	100	NA	NA	NA	2	NA	NA
oka	NA	100	NA	NA	NA	5	NA	NA
oke	NA	100	NA	NA	NA	1	NA	NA
oko	NA	100	NA	NA	NA	3	NA	NA
ola	NA	19.2156862745098	80.7843137254902	NA	NA	98	412	NA
ole	0.291545189504373	15.4518950437318	83.9650145772595	0.291545189504373	1	53	288	1
oli	NA	19.774011299435	80.225988700565	NA	NA	105	426	NA
olo	NA	19.0839694656489	80.9160305343512	NA	NA	100	424	NA
oma	NA	80.9523809523809	19.047619047619	NA	NA	34	8	NA
ome	4.76190476190476	76.1904761904762	19.047619047619	NA	1	16	4	NA
omi	NA	17.0886075949367	82.9113924050633	NA	NA	27	131	NA
omo	NA	57.4468085106383	42.5531914893617	NA	NA	27	20	NA
ona	NA	94.578313253012	5.42168674698795	NA	NA	157	9	NA
one	NA	94.6395563770795	5.36044362292052	NA	NA	2048	116	NA
oni	NA	98.3218916857361	1.67810831426392	NA	NA	1289	22	NA
ono	NA	3.59649122807018	96.140350877193	0.263157894736842	NA	41	1096	3
onu	NA	100	NA	NA	NA	1	NA	NA
opa	NA	100	NA	NA	NA	8	NA	NA
ope	NA	20	80	NA	NA	2	8	NA
opi	NA	43.75	56.25	NA	NA	7	9	NA
opo	NA	56.25	43.75	NA	NA	9	7	NA
ora	NA	73.2758620689655	26.7241379310345	NA	NA	85	31	NA
ore	NA	96.8253968253968	3.17460317460317	NA	NA	732	24	NA
ori	NA	97.3277074542897	2.67229254571027	NA	NA	692	19	NA
oro	NA	85.8974358974359	14.1025641025641	NA	NA	67	11	NA
osa	NA	100	NA	NA	NA	341	NA	NA
ose	NA	99.6138996138996	0.386100386100386	NA	NA	258	1	NA
osi	NA	37.8653113087675	62.1346886912325	NA	NA	298	489	NA
oso	NA	100	NA	NA	NA	325	NA	NA
ota	NA	93.8775510204082	6.12244897959184	NA	NA	46	3	NA
ote	5.55555555555556	91.6666666666667	2.77777777777778	NA	2	33	1	NA
oti	NA	62.962962962963	37.037037037037	NA	NA	34	20	NA
oto	NA	89.2857142857143	10.7142857142857	NA	NA	25	3	NA
otu	NA	100	NA	NA	NA	1	NA	NA
ova	NA	84.6153846153846	15.3846153846154	NA	NA	33	6	NA
ove	NA	96.969696969697	3.03030303030303	NA	NA	32	1	NA
ovi	NA	33.9622641509434	66.0377358490566	NA	NA	18	35	NA
ovo	NA	88	12	NA	NA	22	3	NA
oya	NA	100	NA	NA	NA	1	NA	NA
oza	NA	100	NA	NA	NA	1	NA	NA
ozi	NA	100	NA	NA	NA	2	NA	NA
uba	NA	88.8888888888889	11.1111111111111	NA	NA	8	1	NA
ube	NA	80	20	NA	NA	4	1	NA
ubi	NA	75	25	NA	NA	6	2	NA
ubo	NA	80	20	NA	NA	4	1	NA
uca	NA	96.2962962962963	3.7037037037037	NA	NA	26	1	NA
uce	NA	88.8888888888889	11.1111111111111	NA	NA	24	3	NA
uci	NA	80	20	NA	NA	8	2	NA
uco	NA	100	NA	NA	NA	15	NA	NA
uda	NA	100	NA	NA	NA	24	NA	NA
ude	NA	100	NA	NA	NA	25	NA	NA
udi	NA	100	NA	NA	NA	26	NA	NA
udo	NA	100	NA	NA	NA	22	NA	NA
ufa	NA	100	NA	NA	NA	1	NA	NA
ufe	NA	100	NA	NA	NA	1	NA	NA
ufi	NA	100	NA	NA	NA	4	NA	NA
ufo	NA	100	NA	NA	NA	6	NA	NA
uga	NA	81.8181818181818	18.1818181818182	NA	NA	18	4	NA
uge	NA	50	50	NA	NA	1	1	NA
ugi	NA	90.9090909090909	9.09090909090909	NA	NA	10	1	NA
ugo	NA	80	20	NA	NA	4	1	NA
uja	NA	100	NA	NA	NA	2	NA	NA
ujo	NA	100	NA	NA	NA	1	NA	NA
uka	NA	100	NA	NA	NA	1	NA	NA
uki	NA	100	NA	NA	NA	1	NA	NA
ula	NA	8	92	NA	NA	4	46	NA
ule	NA	19.047619047619	80.9523809523809	NA	NA	4	17	NA
uli	NA	23.5294117647059	76.4705882352941	NA	NA	8	26	NA
ulo	NA	25	75	NA	NA	8	24	NA
ulu	NA	100	NA	NA	NA	2	NA	NA
uma	NA	77.7777777777778	22.2222222222222	NA	NA	21	6	NA
ume	NA	96.6666666666667	3.33333333333333	NA	NA	29	1	NA
umi	NA	91.304347826087	8.69565217391304	NA	NA	21	2	NA
umo	NA	93.3333333333333	6.66666666666667	NA	NA	14	1	NA
una	NA	100	NA	NA	NA	39	NA	NA
une	NA	100	NA	NA	NA	18	NA	NA
uni	NA	100	NA	NA	NA	18	NA	NA
uno	NA	100	NA	NA	NA	33	NA	NA
upa	NA	62.5	37.5	NA	NA	5	3	NA
upe	NA	100	NA	NA	NA	3	NA	NA
upi	NA	80	20	NA	NA	8	2	NA
upo	NA	81.8181818181818	18.1818181818182	NA	NA	9	2	NA
ura	NA	99.1689750692521	0.831024930747922	NA	NA	358	3	NA
ure	1.43540669856459	97.1291866028708	1.43540669856459	NA	3	203	3	NA
uri	NA	92.0634920634921	7.93650793650794	NA	NA	58	5	NA
uro	3.38983050847458	91.5254237288136	5.08474576271187	NA	2	54	3	NA
uru	NA	100	NA	NA	NA	2	NA	NA
usa	NA	100	NA	NA	NA	54	NA	NA
use	3.2258064516129	96.7741935483871	NA	NA	1	30	NA	NA
usi	NA	100	NA	NA	NA	41	NA	NA
uso	NA	100	NA	NA	NA	57	NA	NA
uta	NA	94.1935483870968	5.80645161290323	NA	NA	146	9	NA
ute	NA	98.0952380952381	1.9047619047619	NA	NA	103	2	NA
uti	NA	98.0263157894737	1.97368421052632	NA	NA	149	3	NA
uto	NA	98.8439306358381	1.15606936416185	NA	NA	171	2	NA
utu	NA	100	NA	NA	NA	1	NA	NA
uva	NA	100	NA	NA	NA	1	NA	NA
uve	NA	100	NA	NA	NA	2	NA	NA
uvi	NA	100	NA	NA	NA	2	NA	NA
uxe	NA	100	NA	NA	NA	1	NA	NA
uzi	NA	100	NA	NA	NA	3	NA	NA
uzo	NA	100	NA	NA	NA	1	NA	NA
