CV-structure	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk
CCVCVCVCCCVV	0	100	0	0	0	1	0	0
CCVCVCVCCV	0	89.29445351	10.70554649	0	0	4379	525	0
CCVCVCVCCVV	0	100	0	0	0	11	0	0
CCVCVCVCV	0.026709402	72.28899573	26.84294872	0.841346154	2	5413	2010	63
CCVCVCVCVV	0	100	0	0	0	162	0	0
CCVCVCVV	0	87.26415094	12.73584906	0	0	185	27	0
CCVCVCVVCCV	0	100	0	0	0	194	0	0
CCVCVCVVCV	0	98.86831276	1.131687243	0	0	1922	22	0
CCVCVCVVV	0	100	0	0	0	4	0	0
CCVCVCVVVCV	0	100	0	0	0	5	0	0
CCVCVVCCCVVCCV	0	100	0	0	0	1	0	0
CCVCVVCCCVVCV	0	100	0	0	0	11	0	0
CCVCVVCCV	0	70	30	0	0	14	6	0
CCVCVVCCVCCV	0	100	0	0	0	176	0	0
CCVCVVCCVCV	0	87.78625954	12.21374046	0	0	230	32	0
CCVCVVCCVV	0	100	0	0	0	1	0	0
CCVCVVCCVVCV	0	100	0	0	0	2	0	0
CCVCVVCV	0	70.08196721	29.91803279	0	0	171	73	0
CCVCVVCVCCV	0	96.45390071	3.546099291	0	0	136	5	0
CCVCVVCVCV	0	71.90635452	27.75919732	0.334448161	0	215	83	1
CCVCVVCVCVV	0	100	0	0	0	62	0	0
CCVCVVCVV	0	100	0	0	0	30	0	0
CCVCVVCVVCV	0	100	0	0	0	158	0	0
CCVCVVVCV	0	100	0	0	0	1	0	0
CCVVCCCVCVCV	0	100	0	0	0	7	0	0
CCVVCCCVVCVCCV	0	100	0	0	0	8	0	0
CCVVCCCVVCVCCVV	0	100	0	0	0	6	0	0
CCVVCCCVVCVCV	0	95.45454545	0	4.545454545	0	63	0	3
CCVVCCCVVCVV	0	100	0	0	0	1	0	0
CCVVCCVCCV	0	89.28571429	10.71428571	0	0	25	3	0
CCVVCCVCCVCV	0	44.44444444	55.55555556	0	0	4	5	0
CCVVCCVCCVV	0	100	0	0	0	25	0	0
CCVVCCVCCVVCV	0	100	0	0	0	2	0	0
CCVVCCVCV	0	57.05329154	42.94670846	0	0	182	137	0
CCVVCCVCVCCV	0	62.96296296	37.03703704	0	0	68	40	0
CCVVCCVCVCCVV	0	100	0	0	0	1	0	0
CCVVCCVCVCV	0	14.11042945	85.88957055	0	0	46	280	0
CCVVCCVCVV	0	100	0	0	0	16	0	0
CCVVCCVVCCVCV	0	0	100	0	0	0	4	0
CCVVCCVVCVCCV	0	100	0	0	0	2	0	0
CCVVCCVVCVCV	0	47.05882353	52.94117647	0	0	8	9	0
CCVVCCVVVCV	0	100	0	0	0	1	0	0
CCVVCVCCCVVCV	0	0	66.66666667	33.33333333	0	0	4	2
CCVVCVCCV	0	96.875	3.125	0	0	31	1	0
CCVVCVCCVCCV	0	68.18181818	31.81818182	0	0	15	7	0
CCVVCVCCVCCVV	0	100	0	0	0	2	0	0
CCVVCVCCVCV	0	18.94736842	72.63157895	8.421052632	0	18	69	8
CCVVCVCCVV	0	100	0	0	0	3	0	0
CCVVCVCCVVCCV	0	100	0	0	0	3	0	0
CCVVCVCCVVCV	0	100	0	0	0	2	0	0
