ending	B_%PULT_Ty	C_%PULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%ULT_Ty	NU_%PULT_Ty	P_%PULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	X_%PULT_Ty	B_nPULT_Ty	C_nPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nULT_Ty	NU_nPULT_Ty	P_nPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	B_nAPULT_Ty	X_nPULT_Ty
rpa	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1	NA	NA
rpe	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	1	NA	NA
rpi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA
rpo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
rra	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	3	NA	NA	31	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	18	NA	NA
rre	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	10	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	59	NA	NA
rri	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	31	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	4	NA	NA
rro	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	27	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	8	NA	NA
rru	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rsa	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	100	1	NA	NA	7	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	34	NA	1
rse	100	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	3	NA	NA	18	NA	NA	1	NA	NA	NA	NA	NA	NA	10	NA	38	NA	NA
rsi	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	84.5161290322581	15.4838709677419	86.986301369863	13.013698630137	NA	NA	NA	NA	10	NA	NA	20	NA	NA	1	NA	NA	NA	NA	NA	NA	131	24	889	133	NA
rso	100	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	2	NA	NA	13	NA	NA	25	NA	1	NA	NA	NA	NA	4	NA	NA	27	NA	31	NA	NA
